dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,trn_f1_c9,trn_f1_c10,trn_f1_c11,trn_f1_c12,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,val_f1_c9,val_f1_c10,val_f1_c11,val_f1_c12,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8,tst_f1_c9,tst_f1_c10,tst_f1_c11,tst_f1_c12
KSC,0.25,32,PCA,NB,1,0.9019455252918288,0.874982246992043,0.8733131825369075,0.8717948717948718,0.9780564263322884,0.8019323671497585,0.7024793388429752,0.84375,0.7148936170212766,0.7572815533980582,0.9521016617790812,0.9767441860465116,0.9655172413793104,0.9224011713030746,0.9928057553956836,0.8001508295625943,0.770673633166882,0.5928025455181789,1.0,0.0,0.9793103448275862,0.0,1.0,0.0,0.9635036496350364,0.0,0.9961089494163424,0.9956140350877192,0.4444444444444444,0.7346491228070176,0.7867768595041322,0.6052330822229063,0.6068272827610379,0.8808007279344859,0.9502762430939228,0.6103896103896104,0.5182186234817814,0.0851063829787234,0.4522968197879858,0.7931034482758621,0.0,0.9917355371900828,0.0,1.0,1.0,,,
KSC,0.25,32,PCA,NB,2,0.9243781094527364,0.8826790330919436,0.8823614840438468,0.8727272727272727,0.8636363636363636,0.8418079096045198,0.6565656565656566,0.8571428571428571,0.7063829787234043,0.9161290322580644,0.9276485788113696,0.9431818181818182,0.989247311827957,0.9694002447980417,0.926829268292683,1.0,0.8249475890985325,0.5,0.4244989844707455,0.6666666666666666,0.9770114942528736,0.0,0.1538461538461538,0.0,0.0,1.0,0.0,0.8302521008403362,0.0,0.0,0.8907103825136612,1.0,0.7608695652173914,0.740543124803585,0.7392138484896147,0.8820326678765881,0.8795180722891566,0.5882352941176471,0.4474885844748858,0.0754716981132075,0.4701754385964912,0.4745762711864407,0.8363636363636363,1.0,0.9959183673469388,1.0,0.96,1.0
KSC,0.25,32,PCA,NB,3,0.9430051813471504,0.8963569754304529,0.9015350869012329,0.8360655737704918,0.9297658862876256,0.8742857142857143,0.7453416149068323,0.8870967741935484,0.824,0.8765432098765432,0.9007874015748032,0.9454191033138402,0.9783393501805054,0.9696233292831106,0.9526881720430108,1.0,0.6357615894039735,0.6875739644970414,0.6212048030884881,0.696969696969697,0.0,0.0,0.5373134328358209,0.0,0.0,1.0,0.8413793103448276,1.0,1.0,1.0,1.0,1.0,0.6908212560386473,0.6685168606428006,0.6599321966276074,0.7806841046277666,0.8466257668711656,0.6285714285714286,0.5023255813953489,0.1428571428571428,0.3487179487179487,0.4444444444444444,0.9019607843137256,0.0,0.9959183673469388,1.0,0.987012987012987,1.0
KSC,0.25,32,PCA,NB,4,0.9536256323777405,0.9194602707972518,0.924745516849824,0.9754768392370572,0.9114754098360656,0.9066666666666666,0.7417218543046358,0.8888888888888888,0.8968152866242038,0.9475728155339804,0.9856115107913668,0.970873786407767,0.9476372924648788,0.9994603345925526,0.8609271523178808,0.6790082644628099,0.5257687800060681,0.0,1.0,0.4745762711864407,0.3088803088803089,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8839928057553957,0.7692809099954605,0.7520247289016908,0.8952536824877251,0.8518518518518519,0.6936416184971098,0.5838926174496645,0.4444444444444444,0.8288288288288288,0.0,1.0,1.0,0.9743589743589745,1.0,,,,,,
KSC,0.25,32,PCA,NB,5,0.9429223744292238,0.9064429606402404,0.9078123911295196,0.8736462093862816,0.9405405405405406,0.8140703517587939,0.7459016393442623,0.84375,0.7591836734693878,0.9863013698630136,0.9038785834738616,0.9563953488372092,1.0,1.0,0.9778933680104032,1.0,0.7862679955703211,0.7054253387673618,0.6456805263389297,0.8865979381443299,0.6796116504854369,0.6829268292682927,0.0,1.0,0.0,0.0,0.8586956521739131,0.907608695652174,0.9090909090909092,0.7962382445141066,0.6730769230769231,1.0,0.7431561996779388,0.6594796851029183,0.6499375229163447,0.8692380056444027,0.7448275862068966,0.5441176470588235,0.5433962264150943,0.0851063829787234,0.4858044164037854,0.358974358974359,0.8598130841121495,0.0,0.9958847736625516,1.0,0.9620253164556962,1.0
KSC,0.25,64,PCA,NB,1,0.9186770428015564,0.8974807174610105,0.8960065808749208,0.907651715039578,0.9780564263322884,0.7961165048543689,0.7777777777777778,0.889795918367347,0.7804878048780488,0.7745098039215687,0.9591439688715954,0.9867549668874172,0.9736842105263158,0.9352941176470588,0.9928057553956836,0.8212669683257918,0.7714653248140402,0.5148396959541003,1.0,0.0,0.9863013698630136,0.0,0.0,0.0,0.9615384615384616,0.0,1.0,0.9978021978021978,0.460093896713615,0.7723404255319148,0.8008264462809918,0.6172797061094242,0.6123721694511897,0.8950789229340761,0.9398907103825136,0.5695364238410596,0.5939849624060151,0.0555555555555555,0.4868421052631579,0.8288288288288288,0.0,0.9917355371900828,0.0,0.987012987012987,1.0,,,
KSC,0.25,64,PCA,NB,2,0.933665008291874,0.8973491731848496,0.8966381833661605,0.9037433155080212,0.8527131782945736,0.8441926345609065,0.7142857142857143,0.8674698795180723,0.7836734693877551,0.9102564102564102,0.9393548387096774,0.9431818181818182,0.989247311827957,0.9718482252141984,0.9363295880149812,1.0,0.8259958071278826,0.6089743589743589,0.5604056873602042,1.0,0.9651162790697676,0.0,0.6111111111111112,0.0,0.0,1.0,0.0,0.8183361629881154,1.0,0.0,0.8907103825136612,1.0,0.7777777777777778,0.6669339673594591,0.6681398430504273,0.8961038961038961,0.8928571428571429,0.5895953757225434,0.5321888412017167,0.0,0.5048543689320388,0.4642857142857143,0.8363636363636363,1.0,0.9958847736625516,0.0,0.9736842105263158,1.0
KSC,0.25,64,PCA,NB,3,0.9517316607581128,0.9125704991371908,0.9169289501222948,0.8813559322033898,0.9328859060402684,0.8757062146892656,0.7950310559006211,0.8951612903225806,0.8695652173913043,0.8765432098765432,0.9125596184419714,0.9523809523809524,0.9909255898366606,0.9731051344743276,0.9648562300319488,1.0,0.6854304635761589,0.6875,0.6336748047274363,0.7655502392344498,0.0,0.0,0.6388888888888888,0.0,0.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.7133655394524959,0.5863961428306673,0.5808206906978609,0.8087215064420218,0.8536585365853658,0.6010928961748634,0.5614035087719298,0.05,0.3773584905660377,0.4262295081967213,0.9019607843137256,0.0,0.9958847736625516,0.0,0.9743589743589745,1.0
KSC,0.25,64,PCA,NB,4,0.96008993816751,0.9277098131262788,0.9341108733879406,0.9835164835164836,0.9055374592833876,0.9194630872483222,0.7870967741935484,0.8888888888888888,0.9021601016518423,0.9571984435797666,0.9910554561717352,0.9805352798053528,0.9603072983354674,0.9994603345925526,0.8609271523178808,0.677050222504768,0.5247281980106407,0.0,1.0,0.4666666666666667,0.3053435114503817,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8848920863309353,0.6788578842305294,0.659832838411157,0.9068425391591096,0.8588957055214724,0.6309523809523809,0.5833333333333334,0.4761904761904761,0.8440366972477065,0.0,0.9958847736625516,0.0,0.9620253164556962,1.0,,,,,,
KSC,0.25,64,PCA,NB,5,0.9549902152641878,0.9273637708129912,0.9280041248734164,0.9077490774907748,0.9456521739130436,0.8333333333333334,0.8253968253968254,0.889795918367347,0.8112449799196787,0.9863013698630136,0.918918918918919,0.9651162790697676,1.0,1.0,0.980544747081712,1.0,0.7862679955703211,0.6294565201611277,0.5693877032693675,0.8631578947368421,0.6666666666666666,0.7142857142857143,0.0,0.0,0.0,0.0,0.8723404255319149,0.9016393442622952,0.924187725631769,0.7770700636942676,0.6826923076923077,1.0,0.7415458937198067,0.6500301725685513,0.6436831042623127,0.8657587548638133,0.7183098591549296,0.5492957746478874,0.6159420289855072,0.0,0.48,0.325,0.8598130841121495,0.0,0.9917355371900828,1.0,0.9620253164556962,1.0
KSC,0.5,2,PCA,NB,1,0.7245136186770428,0.6414358083650452,0.6226671334914092,0.7901234567901234,0.6047904191616766,0.5536332179930796,0.2325581395348837,0.5972222222222222,0.5544554455445545,0.2213740458015267,0.8504504504504504,0.3274021352313167,0.9556135770234988,0.8180574555403557,0.9663250366032212,0.4140271493212669,0.3673629529200644,0.2230072152729703,0.0,0.0,0.5955056179775281,0.0,0.0,0.0,0.2134387351778656,0.0,0.294478527607362,1.0,0.2427071178529755,0.3299565846599132,0.6247933884297521,0.4320055285595454,0.3824657353670614,0.9177718832891246,0.6222222222222222,0.4812030075187969,0.1208053691275167,0.0259740259740259,0.4532019704433497,0.3243243243243243,0.0,0.1666666666666666,0.0,0.4774193548387097,1.0,,,
KSC,0.5,2,PCA,NB,2,0.7562189054726368,0.6470997501215888,0.6015840415346687,0.8070175438596491,0.2923076923076923,0.588469184890656,0.1379310344827586,0.563573883161512,0.4745762711864407,0.1061946902654867,0.6137841352405722,0.7704485488126649,0.6095238095238096,0.983132530120482,0.8806262230919765,0.993006993006993,0.6802935010482181,0.5410983815239134,0.40530381963238,0.1052631578947368,0.6764705882352942,0.0,0.0,1.0,0.0,1.0,0.0,0.640625,0.0,0.0,0.8465909090909091,1.0,0.6376811594202898,0.4818307480227152,0.399123827887171,0.927689594356261,0.6227544910179641,0.4339622641509434,0.0,0.0259740259740259,0.4047619047619047,0.0816326530612244,0.4172661870503597,0.0,0.4838709677419355,0.0,0.7906976744186046,1.0
