dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8
Pavia_University,1.0,4,MAE_VIT,RF,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9222240886947758,0.8465589105114409,0.8361393005262607,0.9589770911028236,0.9349943374858436,0.0,0.967801287948482,0.9983416252072967,0.8754144954997631,0.902439024390244,0.8872858431018936,1.0,0.945289022450062,0.9110544723784956,0.9095650981980452,0.9089316987740804,0.9778852798894264,0.8679536679536679,0.907859078590786,0.9965635738831616,0.7657512116316639,0.8960573476702509,0.8724100327153762,0.9926739926739928
Pavia_University,1.0,4,MAE_VIT,RF,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9152542372881356,0.9320590005252768,0.8906458276491743,0.9406838799720866,0.8865671641791045,0.5168539325842697,0.9901574803149606,0.998661311914324,0.9162132752992383,0.8701298701298701,0.9003769520732364,0.9961685823754788,0.9477638324200106,0.9160620431221006,0.9003572336425039,0.9062098501070665,0.9843899767218952,0.8174474959612278,0.896,0.9948364888123924,0.8418181818181818,0.8523364485981308,0.8175026680896478,0.9926739926739928
Pavia_University,1.0,8,MAE_VIT,RF,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8915438736227267,0.8586442459868477,0.8274179030324075,0.9773429454170958,0.9397260273972604,0.4093264248704663,0.8483660130718954,1.0,0.7576894223555889,0.9078014184397164,0.606508875739645,1.0,0.9427258264097578,0.8962634501792414,0.8927568755587983,0.917208495882098,0.981322634200332,0.7781569965870307,0.7780320366132724,1.0,0.9071618037135278,0.8924731182795699,0.7896311066799602,0.9908256880733946
Pavia_University,1.0,8,MAE_VIT,RF,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9024687065368568,0.8935831767015343,0.8848477897384288,0.9440421329822252,0.9635820895522388,0.8051948051948052,0.9556737588652482,1.0,0.6753246753246753,0.7948717948717948,0.8307888040712468,0.9941520467836256,0.9618172176065052,0.9344222277967432,0.923283118828894,0.9299250771264874,0.989531303455354,0.8757861635220126,0.8552631578947368,1.0,0.9328426862925484,0.8872727272727273,0.8481012658227848,0.9908256880733946
Pavia_University,1.0,8,MAE_VIT,RF,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9181127204933314,0.8203844327760386,0.804449409830511,0.8728434504792332,0.942496978069418,0.6786786786786787,0.9591567852437418,1.0,0.8807972403219624,0.0,0.9081334113516676,0.9979381443298968,0.949001237404985,0.9195303354805852,0.9061744684116584,0.8808421052631579,0.9867068658352748,0.768839966130398,0.8557089084065245,1.0,0.900749063670412,0.9113475177304964,0.8624052004333694,0.9889705882352942
Pavia_University,1.0,8,MAE_VIT,RF,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9580043675457752,0.8676875092301685,0.8554297892579356,0.9716386554621848,0.9694303936661536,0.0,0.9660238751147842,0.9983416252072967,0.9409389197375064,0.9172932330827068,0.935201401050788,1.0,0.9605798126215308,0.9335400288829958,0.9226179075575875,0.934404283801874,0.988246549132158,0.8816705336426914,0.8777348777348777,1.0,0.8959537572254336,0.8920863309352518,0.8407908428720083,0.9926739926739928
Pavia_University,1.0,8,MAE_VIT,RF,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9436297848028948,0.9551548866477424,0.897154300686036,0.9442119944211994,0.9589473684210528,0.4516129032258064,0.9822485207100592,0.998661311914324,0.9749128919860628,0.8666666666666667,0.9009584664536742,0.9961685823754788,0.9548347180484356,0.9234680782454548,0.9071084575781864,0.919431279620853,0.9892487844963364,0.8221859706362153,0.8727735368956743,0.9982788296041308,0.9242282507015904,0.8436911487758946,0.8033126293995859,0.9908256880733946
Pavia_University,1.0,16,MAE_VIT,RF,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8871631488118943,0.8567485578028115,0.8195359050382596,0.9713408393039918,0.9370069738195952,0.3819628647214854,0.85396201702685,1.0,0.7388724035608308,0.8920863309352518,0.6005917159763313,1.0,0.9452006363797064,0.8933330008856082,0.896183050487025,0.9311562224183584,0.982077364888243,0.7895181741335587,0.7943595769682726,0.9982847341337908,0.8940568475452196,0.8934707903780069,0.7900497512437811,0.9926739926739928
Pavia_University,1.0,16,MAE_VIT,RF,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8979485396383866,0.8865673260913969,0.8761654381892717,0.9414858645627876,0.9628318584070796,0.7938060309698451,0.9482142857142856,1.0,0.6341463414634146,0.7795348837209303,0.8313176320814768,0.9941520467836256,0.9657945907724944,0.93871840088643,0.9296339015241388,0.94321206743567,0.9902806297056812,0.8989976869699307,0.8590425531914894,0.9982788296041308,0.9373297002724796,0.8860759493670886,0.860813704496788,0.9926739926739928
Pavia_University,1.0,16,MAE_VIT,RF,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9163917969310196,0.8156793059556305,0.8029449386774243,0.8701215611004478,0.9382671480144404,0.6585365853658537,0.9709762532981532,1.0,0.8859342197340798,0.0,0.9088798607080674,0.9937888198757764,0.9453774085204172,0.9011007782296,0.9030078617912276,0.9126466753585396,0.9793494025830514,0.8337349397590361,0.8,1.0,0.8568935427574171,0.900523560209424,0.8512486427795874,0.9926739926739928
